region,route,root,shieldClass
NIR,A1,nir.a001,Both
NIR,A2New,nir.a002new,Both
NIR,A2,nir.a002,Both
NIR,A2Der,nir.a002der,Primary
NIR,A2Cul,nir.a002cul,Both
NIR,A3,nir.a003,Both
NIR,A3Clo,nir.a003clo,Non-Primary
NIR,A3Gan,nir.a003gan,Non-Primary
NIR,A4,nir.a004,Both
NIR,A5,nir.a005,Primary
NIR,A6,nir.a006,Both
NIR,A7,nir.a007,Primary
NIR,A8,nir.a008,Primary
NIR,A11,nir.a011,Primary
NIR,A12,nir.a012,Primary
NIR,A20,nir.a020,Both
NIR,A21,nir.a021,Both
NIR,A22,nir.a022,Both
NIR,A23,nir.a023,Non-Primary
NIR,A24,nir.a024,Primary
NIR,A25,nir.a025,Non-Primary
NIR,A26,nir.a026,Both
NIR,A27,nir.a027,Both
NIR,A27Por,nir.a027por,Primary
NIR,A28,nir.a028,Primary
NIR,A29,nir.a029,Both
NIR,A30,nir.a030,Non-Primary
NIR,A31,nir.a031,Primary
NIR,A32,nir.a032,Both
NIR,A34,nir.a034,Non-Primary
NIR,A35,nir.a035,Non-Primary
NIR,A36,nir.a036,Primary
NIR,A37,nir.a037,Primary
NIR,A37Cul,nir.a037cul,Non-Primary
NIR,A38,nir.a038,Primary
NIR,A40,nir.a040,Non-Primary
NIR,A42,nir.a042,Non-Primary
NIR,A43,nir.a043,Non-Primary
NIR,A44,nir.a044,Primary
NIR,A45,nir.a045,Non-Primary
NIR,A45Coa,nir.a045coa,Non-Primary
NIR,A46,nir.a046,Primary
NIR,A47,nir.a047,Non-Primary
NIR,A48,nir.a048,Non-Primary
NIR,A49,nir.a049,Non-Primary
NIR,A50,nir.a050,Non-Primary
NIR,A51,nir.a051,Non-Primary
NIR,A52,nir.a052,Both
NIR,A54,nir.a054,Non-Primary
NIR,A55,nir.a055,Primary
NIR,A57,nir.a057,Primary
NIR,A76,nir.a076,Non-Primary
NIR,A101,nir.a101,Primary
NIR,A221,nir.a221,Non-Primary
NIR,A371,nir.a371,Non-Primary
NIR,A501,nir.a501,Non-Primary
NIR,A505,nir.a505,Primary
NIR,A509,nir.a509,Primary
NIR,A510,nir.a510,Non-Primary
NIR,A512,nir.a512,Primary
NIR,A513,nir.a513,Non-Primary
NIR,A514,nir.a514,Primary
NIR,A515,nir.a515,Primary
NIR,A519,nir.a519,Non-Primary
NIR,A520,nir.a520,Non-Primary
NIR,A522,nir.a522,Non-Primary
NIR,A523,nir.a523,Non-Primary
