region,route,root,shieldClass
TN,TN1,tn.tn001,Primary
TN,TN1Spa,tn.tn001spa,Primary
TN,TN2,tn.tn002,Secondary
TN,TN3,tn.tn003,Secondary
TN,TN5,tn.tn005,Secondary
TN,TN7Ard,tn.tn007ard,Secondary
TN,TN7,tn.tn007,Primary
TN,TN7TrkArd,tn.tn007trkard,Secondary
TN,TN8Cha,tn.tn008cha,Secondary
TN,TN8,tn.tn008,Primary
TN,TN10,tn.tn010,Primary
TN,TN11,tn.tn011,Primary
TN,TN12,tn.tn012,Primary
TN,TN13,tn.tn013,Both
TN,TN14,tn.tn014,Both
TN,TN15,tn.tn015,Secondary
TN,TN16,tn.tn016,Primary
TN,TN17,tn.tn017,Secondary
TN,TN18,tn.tn018,Primary
TN,TN19,tn.tn019,Both
TN,TN20,tn.tn020,Primary
TN,TN21,tn.tn021,Both
TN,TN22,tn.tn022,Both
TN,TN22A,tn.tn022a,Secondary
TN,TN22BusHun,tn.tn022bushun,Primary
TN,TN25,tn.tn025,Both
TN,TN27,tn.tn027,Both
TN,TN28,tn.tn028,Primary
TN,TN29,tn.tn029,Secondary
TN,TN30,tn.tn030,Both
TN,TN31,tn.tn031,Primary
TN,TN32,tn.tn032,Both
TN,TN33,tn.tn033,Both
TN,TN35,tn.tn035,Primary
TN,TN36,tn.tn036,Secondary
TN,TN39,tn.tn039,Both
TN,TN43,tn.tn043,Both
TN,TN44,tn.tn044,Secondary
TN,TN45,tn.tn045,Secondary
TN,TN46,tn.tn046,Both
TN,TN46Ind,tn.tn046ind,Secondary
TN,TN47,tn.tn047,Both
TN,TN48,tn.tn048,Both
TN,TN48BusDic,tn.tn048busdic,Secondary
TN,TN49,tn.tn049,Both
TN,TN50,tn.tn050,Both
TN,TN50Win,tn.tn050win,Both
TN,TN51,tn.tn051,Secondary
TN,TN52,tn.tn052,Both
TN,TN53,tn.tn053,Both
TN,TN54,tn.tn054,Both
TN,TN55,tn.tn055,Primary
TN,TN55BusMcM,tn.tn055busmcm,Primary
TN,TN56,tn.tn056,Both
TN,TN56Sew,tn.tn056sew,Secondary
TN,TN57,tn.tn057,Both
TN,TN58Cha,tn.tn058cha,Secondary
TN,TN58,tn.tn058,Primary
TN,TN59,tn.tn059,Both
TN,TN60,tn.tn060,Both
TN,TN61,tn.tn061,Both
TN,TN62,tn.tn062,Both
TN,TN63,tn.tn063,Both
TN,TN64,tn.tn064,Both
TN,TN66Mor,tn.tn066mor,Both
TN,TN66,tn.tn066,Both
TN,TN66Sev,tn.tn066sev,Primary
TN,TN67,tn.tn067,Both
GA,TN68,ga.tn068,Primary
TN,TN68,tn.tn068,Primary
TN,TN69Par,tn.tn069par,Secondary
TN,TN69,tn.tn069,Both
TN,TN69A,tn.tn069a,Secondary
TN,TN70,tn.tn070,Both
TN,TN72,tn.tn072,Primary
TN,TN73,tn.tn073,Secondary
TN,TN73Tow,tn.tn073tow,Secondary
TN,TN74,tn.tn074,Secondary
TN,TN75,tn.tn075,Secondary
TN,TN76,tn.tn076,Primary
TN,TN76Cla,tn.tn076cla,Primary
TN,TN76Whi,tn.tn076whi,Secondary
TN,TN77,tn.tn077,Both
TN,TN77Mil,tn.tn077mil,Primary
TN,TN77New,tn.tn077new,Secondary
TN,TN78,tn.tn078,Both
TN,TN79,tn.tn079,Both
TN,TN80,tn.tn080,Primary
TN,TN81,tn.tn081,Primary
TN,TN82,tn.tn082,Secondary
TN,TN83,tn.tn083,Secondary
TN,TN84,tn.tn084,Both
TN,TN85,tn.tn085,Both
TN,TN87,tn.tn087,Secondary
TN,TN88,tn.tn088,Secondary
TN,TN88TrkBel,tn.tn088trkbel,Secondary
TN,TN89,tn.tn089,Secondary
TN,TN90,tn.tn090,Secondary
TN,TN91,tn.tn091,Secondary
TN,TN92,tn.tn092,Primary
TN,TN93,tn.tn093,Primary
TN,TN94,tn.tn094,Secondary
TN,TN95,tn.tn095,Both
TN,TN96,tn.tn096,Both
TN,TN97,tn.tn097,Secondary
TN,TN98,tn.tn098,Secondary
TN,TN99Bra,tn.tn099bra,Secondary
TN,TN99,tn.tn099,Both
TN,TN99Hoh,tn.tn099hoh,Secondary
TN,TN100,tn.tn100,Both
TN,TN101,tn.tn101,Secondary
TN,TN102,tn.tn102,Secondary
TN,TN103,tn.tn103,Secondary
TN,TN104Dye,tn.tn104dye,Both
TN,TN104,tn.tn104,Secondary
TN,TN104TrkDye,tn.tn104trkdye,Secondary
TN,TN105,tn.tn105,Secondary
TN,TN107Del,tn.tn107del,Secondary
TN,TN107,tn.tn107,Both
TN,TN108,tn.tn108,Both
TN,TN109,tn.tn109,Primary
TN,TN110,tn.tn110,Secondary
TN,TN111,tn.tn111,Primary
TN,TN113,tn.tn113,Secondary
TN,TN114,tn.tn114,Secondary
TN,TN116,tn.tn116,Secondary
TN,TN117,tn.tn117,Secondary
TN,TN118,tn.tn118,Secondary
TN,TN119,tn.tn119,Secondary
TN,TN120,tn.tn120,Secondary
TN,TN121,tn.tn121,Both
TN,TN122,tn.tn122,Primary
TN,TN123,tn.tn123,Secondary
TN,TN124,tn.tn124,Secondary
TN,TN125,tn.tn125,Both
TN,TN126,tn.tn126,Secondary
TN,TN126BusBlo,tn.tn126busblo,Secondary
TN,TN127,tn.tn127,Secondary
TN,TN128,tn.tn128,Both
TN,TN128TrkSav,tn.tn128trksav,Primary
TN,TN129,tn.tn129,Secondary
TN,TN130,tn.tn130,Secondary
TN,TN131,tn.tn131,Secondary
