region,route,root,shieldClass
TN,TN133,tn.tn133,Secondary
TN,TN134,tn.tn134,Secondary
TN,TN135,tn.tn135,Secondary
TN,TN135Whi,tn.tn135whi,Secondary
TN,TN136,tn.tn136,Secondary
TN,TN137,tn.tn137,Primary
TN,TN138,tn.tn138,Secondary
TN,TN139,tn.tn139,Secondary
TN,TN140,tn.tn140,Secondary
TN,TN141,tn.tn141,Secondary
TN,TN142,tn.tn142,Secondary
TN,TN143,tn.tn143,Secondary
TN,TN144,tn.tn144,Secondary
TN,TN145,tn.tn145,Secondary
TN,TN146,tn.tn146,Secondary
TN,TN147Big,tn.tn147big,Secondary
TN,TN147,tn.tn147,Secondary
TN,TN148,tn.tn148,Secondary
TN,TN149,tn.tn149,Primary
TN,TN151,tn.tn151,Primary
TN,TN152,tn.tn152,Secondary
TN,TN153,tn.tn153,Primary
TN,TN154,tn.tn154,Secondary
TN,TN155,tn.tn155,Both
TN,TN156,tn.tn156,Secondary
TN,TN157,tn.tn157,Secondary
TN,TN158,tn.tn158,Primary
TN,TN160,tn.tn160,Both
TN,TN161,tn.tn161,Secondary
TN,TN162Alc,tn.tn162alc,Primary
TN,TN162,tn.tn162,Primary
TN,TN163,tn.tn163,Secondary
TN,TN164,tn.tn164,Secondary
TN,TN165,tn.tn165,Secondary
TN,TN166,tn.tn166,Secondary
TN,TN167,tn.tn167,Secondary
TN,TN168,tn.tn168,Secondary
TN,TN169,tn.tn169,Secondary
TN,TN170,tn.tn170,Secondary
TN,TN171,tn.tn171,Secondary
TN,TN172,tn.tn172,Secondary
TN,TN173,tn.tn173,Secondary
TN,TN174,tn.tn174,Secondary
TN,TN175,tn.tn175,Secondary
TN,TN176,tn.tn176,Secondary
TN,TN177,tn.tn177,Secondary
TN,TN178,tn.tn178,Secondary
TN,TN179,tn.tn179,Secondary
TN,TN180,tn.tn180,Secondary
TN,TN180Gat,tn.tn180gat,Secondary
TN,TN181,tn.tn181,Both
TN,TN182,tn.tn182,Secondary
TN,TN183,tn.tn183,Secondary
TN,TN184,tn.tn184,Secondary
TN,TN185,tn.tn185,Secondary
TN,TN186,tn.tn186,Secondary
TN,TN187,tn.tn187,Secondary
TN,TN188,tn.tn188,Secondary
TN,TN189,tn.tn189,Secondary
TN,TN190,tn.tn190,Secondary
TN,TN191,tn.tn191,Secondary
TN,TN192,tn.tn192,Secondary
TN,TN193,tn.tn193,Secondary
TN,TN194,tn.tn194,Secondary
TN,TN195,tn.tn195,Secondary
TN,TN196,tn.tn196,Secondary
TN,TN197,tn.tn197,Secondary
TN,TN198,tn.tn198,Secondary
TN,TN199,tn.tn199,Secondary
TN,TN200,tn.tn200,Secondary
TN,TN201,tn.tn201,Secondary
TN,TN202,tn.tn202,Secondary
TN,TN203,tn.tn203,Secondary
TN,TN204,tn.tn204,Secondary
TN,TN205,tn.tn205,Secondary
TN,TN206,tn.tn206,Secondary
TN,TN207,tn.tn207,Secondary
TN,TN208,tn.tn208,Secondary
TN,TN209,tn.tn209,Secondary
TN,TN210,tn.tn210,Secondary
TN,TN211,tn.tn211,Secondary
TN,TN212,tn.tn212,Secondary
TN,TN213,tn.tn213,Secondary
TN,TN214,tn.tn214,Secondary
TN,TN216,tn.tn216,Secondary
TN,TN217,tn.tn217,Secondary
TN,TN218,tn.tn218,Secondary
TN,TN219,tn.tn219,Secondary
TN,TN220,tn.tn220,Secondary
TN,TN220AltAtw,tn.tn220altatw,Secondary
TN,TN221,tn.tn221,Secondary
TN,TN222,tn.tn222,Secondary
TN,TN223,tn.tn223,Secondary
TN,TN224,tn.tn224,Secondary
TN,TN225,tn.tn225,Secondary
TN,TN226,tn.tn226,Secondary
TN,TN227,tn.tn227,Secondary
TN,TN228,tn.tn228,Secondary
TN,TN229,tn.tn229,Secondary
TN,TN230Lit,tn.tn230lit,Secondary
TN,TN230,tn.tn230,Secondary
TN,TN231,tn.tn231,Secondary
TN,TN232,tn.tn232,Secondary
TN,TN233Car,tn.tn233car,Secondary
TN,TN233,tn.tn233,Secondary
TN,TN234,tn.tn234,Secondary
TN,TN235,tn.tn235,Secondary
TN,TN236,tn.tn236,Secondary
TN,TN237,tn.tn237,Secondary
TN,TN238,tn.tn238,Secondary
TN,TN239,tn.tn239,Secondary
TN,TN240,tn.tn240,Secondary
TN,TN241,tn.tn241,Secondary
TN,TN242,tn.tn242,Secondary
TN,TN243,tn.tn243,Secondary
TN,TN244,tn.tn244,Secondary
TN,TN245,tn.tn245,Secondary
TN,TN246,tn.tn246,Secondary
TN,TN247,tn.tn247,Secondary
TN,TN248,tn.tn248,Secondary
TN,TN249,tn.tn249,Secondary
TN,TN250,tn.tn250,Secondary
TN,TN251,tn.tn251,Secondary
TN,TN252,tn.tn252,Secondary
TN,TN253,tn.tn253,Secondary
TN,TN254,tn.tn254,Primary
TN,TN255,tn.tn255,Secondary
TN,TN256,tn.tn256,Secondary
TN,TN257,tn.tn257,Secondary
TN,TN258,tn.tn258,Secondary
TN,TN259,tn.tn259,Secondary
TN,TN260,tn.tn260,Secondary
TN,TN261,tn.tn261,Secondary
TN,TN262,tn.tn262,Both
TN,TN263,tn.tn263,Secondary
TN,TN264,tn.tn264,Secondary
TN,TN265,tn.tn265,Secondary
TN,TN266,tn.tn266,Secondary
TN,TN267,tn.tn267,Secondary
TN,TN268,tn.tn268,Secondary
TN,TN269Eag,tn.tn269eag,Secondary
TN,TN269,tn.tn269,Secondary
TN,TN270,tn.tn270,Secondary
TN,TN271,tn.tn271,Secondary
TN,TN272,tn.tn272,Secondary
TN,TN273,tn.tn273,Secondary
TN,TN274,tn.tn274,Secondary
TN,TN275,tn.tn275,Secondary
TN,TN276,tn.tn276,Secondary
TN,TN277,tn.tn277,Secondary
TN,TN278,tn.tn278,Secondary
TN,TN279,tn.tn279,Secondary
TN,TN280,tn.tn280,Secondary
TN,TN281,tn.tn281,Secondary
TN,TN282,tn.tn282,Secondary
TN,TN283,tn.tn283,Both
TN,TN284,tn.tn284,Secondary
TN,TN285,tn.tn285,Secondary
TN,TN286,tn.tn286,Secondary
TN,TN287,tn.tn287,Secondary
TN,TN288,tn.tn288,Secondary
TN,TN289,tn.tn289,Secondary
TN,TN290,tn.tn290,Secondary
TN,TN291,tn.tn291,Secondary
TN,TN292,tn.tn292,Secondary
TN,TN293,tn.tn293,Secondary
TN,TN294,tn.tn294,Secondary
TN,TN295,tn.tn295,Secondary
TN,TN296,tn.tn296,Secondary
TN,TN297,tn.tn297,Secondary
TN,TN298,tn.tn298,Secondary
TN,TN299,tn.tn299,Secondary
TN,TN301,tn.tn301,Secondary
TN,TN302,tn.tn302,Secondary
TN,TN303,tn.tn303,Secondary
TN,TN304,tn.tn304,Secondary
TN,TN305,tn.tn305,Secondary
TN,TN306,tn.tn306,Secondary
TN,TN307,tn.tn307,Secondary
TN,TN308,tn.tn308,Secondary
TN,TN309,tn.tn309,Secondary
TN,TN310,tn.tn310,Primary
TN,TN312,tn.tn312,Secondary
TN,TN313,tn.tn313,Secondary
TN,TN314,tn.tn314,Secondary
TN,TN315,tn.tn315,Secondary
TN,TN317,tn.tn317,Secondary
TN,TN318,tn.tn318,Secondary
TN,TN319,tn.tn319,Secondary
TN,TN320,tn.tn320,Secondary
TN,TN321,tn.tn321,Secondary
TN,TN322,tn.tn322,Secondary
TN,TN323,tn.tn323,Secondary
TN,TN324,tn.tn324,Secondary
TN,TN325,tn.tn325,Secondary
TN,TN326,tn.tn326,Secondary
TN,TN327,tn.tn327,Secondary
TN,TN328,tn.tn328,Secondary
TN,TN329,tn.tn329,Secondary
TN,TN330,tn.tn330,Secondary
TN,TN331,tn.tn331,Secondary
TN,TN332,tn.tn332,Secondary
TN,TN333,tn.tn333,Secondary
TN,TN334,tn.tn334,Secondary
TN,TN335,tn.tn335,Secondary
TN,TN336,tn.tn336,Secondary
TN,TN338,tn.tn338,Secondary
TN,TN339,tn.tn339,Secondary
TN,TN340,tn.tn340,Secondary
TN,TN341,tn.tn341,Secondary
TN,TN342,tn.tn342,Secondary
TN,TN343,tn.tn343,Secondary
TN,TN344,tn.tn344,Secondary
TN,TN345,tn.tn345,Secondary
TN,TN346,tn.tn346,Secondary
TN,TN347,tn.tn347,Secondary
TN,TN348,tn.tn348,Secondary
TN,TN349,tn.tn349,Secondary
TN,TN350,tn.tn350,Secondary
TN,TN351,tn.tn351,Secondary
TN,TN352,tn.tn352,Secondary
TN,TN353,tn.tn353,Secondary
TN,TN354,tn.tn354,Secondary
TN,TN355,tn.tn355,Secondary
TN,TN356,tn.tn356,Secondary
TN,TN357,tn.tn357,Secondary
TN,TN358,tn.tn358,Secondary
TN,TN359,tn.tn359,Secondary
TN,TN360,tn.tn360,Secondary
TN,TN361,tn.tn361,Secondary
TN,TN362,tn.tn362,Secondary
TN,TN363,tn.tn363,Secondary
TN,TN365,tn.tn365,Secondary
TN,TN367,tn.tn367,Secondary
TN,TN368,tn.tn368,Secondary
TN,TN369,tn.tn369,Secondary
TN,TN370,tn.tn370,Secondary
TN,TN371,tn.tn371,Secondary
TN,TN372,tn.tn372,Secondary
TN,TN373,tn.tn373,Secondary
TN,TN374,tn.tn374,Primary
TN,TN375,tn.tn375,Secondary
TN,TN377,tn.tn377,Secondary
TN,TN378,tn.tn378,Secondary
TN,TN379,tn.tn379,Secondary
TN,TN380,tn.tn380,Secondary
TN,TN381,tn.tn381,Primary
TN,TN382,tn.tn382,Secondary
TN,TN384,tn.tn384,Secondary
TN,TN385Col,tn.tn385col,Primary
TN,TN385,tn.tn385,Primary
TN,TN386,tn.tn386,Primary
TN,TN388,tn.tn388,Secondary
TN,TN390,tn.tn390,Secondary
TN,TN392,tn.tn392,Secondary
TN,TN394,tn.tn394,Both
TN,TN395,tn.tn395,Secondary
TN,TN396,tn.tn396,Primary
TN,TN397,tn.tn397,Primary
TN,TN399,tn.tn399,Secondary
TN,TN400,tn.tn400,Secondary
TN,TN416,tn.tn416,Secondary
TN,TN417,tn.tn417,Secondary
TN,TN418,tn.tn418,Secondary
TN,TN419,tn.tn419,Secondary
TN,TN420,tn.tn420,Secondary
TN,TN421,tn.tn421,Secondary
TN,TN422,tn.tn422,Secondary
TN,TN423,tn.tn423,Secondary
TN,TN424,tn.tn424,Secondary
TN,TN425,tn.tn425,Secondary
TN,TN431,tn.tn431,Secondary
TN,TN434,tn.tn434,Secondary
TN,TN435,tn.tn435,Secondary
TN,TN436,tn.tn436,Secondary
TN,TN437,tn.tn437,Primary
TN,TN438,tn.tn438,Secondary
TN,TN441,tn.tn441,Secondary
TN,TN443,tn.tn443,Secondary
TN,TN444,tn.tn444,Secondary
TN,TN445,tn.tn445,Secondary
TN,TN448,tn.tn448,Primary
TN,TN449,tn.tn449,Primary
TN,TN452,tn.tn452,Primary
TN,TN454,tn.tn454,Secondary
TN,TN455,tn.tn455,Secondary
TN,TN456,tn.tn456,Secondary
TN,TN457,tn.tn457,Primary
TN,TN459,tn.tn459,Secondary
TN,TN460,tn.tn460,Secondary
TN,TN461,tn.tn461,Secondary
TN,TN462,tn.tn462,Secondary
TN,TN476,tn.tn476,Secondary
TN,TN477,tn.tn477,Secondary
TN,TN690,tn.tn690,Primary
