region,route,root,shieldClass
ENG,A1Lon,eng.a0001lon,Both
ENG,A1StN,eng.a0001stn,Primary
ENG,A1,eng.a0001,Primary
ENG,A1Wen,eng.a0001wen,Primary
ENG,A1New,eng.a0001new,Primary
SCT,A1,sct.a0001,Both
ENG,A2,eng.a0002,Both
ENG,A3,eng.a0003,Both
ENG,A4,eng.a0004,Both
ENG,A4Avo,eng.a0004avo,Both
ENG,A5Lon,eng.a0005lon,Both
ENG,A5,eng.a0005,Both
WLS,A5,wls.a0005,Both
ENG,A6,eng.a0006,Both
ENG,A6Pre,eng.a0006pre,Both
SCT,A7,sct.a0007,Both
ENG,A7,eng.a0007,Both
SCT,A8Edi,sct.a0008edi,Non-Primary
SCT,A8,sct.a0008,Both
SCT,A9,sct.a0009,Both
ENG,A10,eng.a0010,Both
ENG,A10GtA,eng.a0010gta,Primary
ENG,A11Lon,eng.a0011lon,Primary
ENG,A11,eng.a0011,Both
ENG,A12,eng.a0012,Primary
ENG,A13,eng.a0013,Both
ENG,A14,eng.a0014,Primary
ENG,A15,eng.a0015,Both
ENG,A15Pet,eng.a0015pet,Primary
ENG,A16,eng.a0016,Primary
ENG,A17,eng.a0017,Primary
ENG,A18,eng.a0018,Both
ENG,A19,eng.a0019,Both
ENG,A20,eng.a0020,Both
ENG,A21,eng.a0021,Both
ENG,A22,eng.a0022,Primary
ENG,A23,eng.a0023,Both
ENG,A24,eng.a0024,Both
ENG,A25,eng.a0025,Both
ENG,A26Mai,eng.a0026mai,Both
ENG,A26,eng.a0026,Primary
ENG,A27,eng.a0027,Both
ENG,A28,eng.a0028,Both
ENG,A29,eng.a0029,Non-Primary
ENG,A30,eng.a0030,Both
ENG,A31Alt,eng.a0031alt,Both
ENG,A31,eng.a0031,Primary
ENG,A32,eng.a0032,Non-Primary
ENG,A33,eng.a0033,Both
ENG,A34,eng.a0034,Primary
ENG,A34Bir,eng.a0034bir,Both
ENG,A35,eng.a0035,Both
ENG,A35Bas,eng.a0035bas,Non-Primary
ENG,A36,eng.a0036,Both
ENG,A36Owe,eng.a0036owe,Primary
ENG,A37,eng.a0037,Primary
ENG,A38,eng.a0038,Both
ENG,A38Tau,eng.a0038tau,Both
ENG,A38Wor,eng.a0038wor,Both
ENG,A38Der,eng.a0038der,Primary
ENG,A39,eng.a0039,Both
ENG,A39Bri,eng.a0039bri,Both
